,SessionCode,ParticipantID,RoundCode,id_in_group,TimeRequest,Ftime,Ftimems,Ftimems2,Fchoice,NumberClicks,Ltime,Ltimems,Ltimems2,Lchoice,NumberChoices,Rank,FLchoice,ExtraClicks
0,emxl0g1y,gls81jqj,2,3,0.423,24.0,6.809,6.386,green,1,24.0,6.809,6.386,green,1,5,1.0,0.0
1,emxl0g1y,gls81jqj,3,3,0.426,26.0,4.494,4.068,yellow,2,16.0,15.234,14.808,purple,2,4,0.0,0.0
2,emxl0g1y,gls81jqj,4,5,0.348,22.0,8.602,8.254,magenta,2,15.0,15.863,15.514999999999999,black,2,5,0.0,0.0
3,emxl0g1y,gls81jqj,5,5,0.624,27.0,4.363,3.7390000000000003,blue,1,27.0,4.363,3.7390000000000003,blue,1,3,1.0,0.0
4,emxl0g1y,gls81jqj,6,1,0.417,27.0,3.762,3.345,cyan,1,27.0,3.762,3.345,cyan,1,3,1.0,0.0
5,emxl0g1y,gls81jqj,7,4,0.301,27.0,3.972,3.671,silver,2,22.0,8.838,8.536999999999999,teal,2,4,0.0,0.0
6,emxl0g1y,gls81jqj,8,6,1.218,28.0,3.525,2.307,magenta,4,9.0,22.379,21.161,beige,4,1,0.0,0.0
7,emxl0g1y,gls81jqj,9,6,0.501,27.0,4.179,3.6780000000000004,red,3,21.0,10.411,9.91,red,3,4,1.0,0.0
8,emxl0g1y,gls81jqj,10,3,0.316,27.0,3.34,3.024,green,1,27.0,3.34,3.024,green,1,3,1.0,0.0
9,emxl0g1y,gls81jqj,11,1,0.464,27.0,3.556,3.092,yellow,1,27.0,3.556,3.092,yellow,1,4,1.0,0.0
10,emxl0g1y,gls81jqj,12,1,0.385,28.0,3.223,2.838,black,1,28.0,3.223,2.838,black,1,5,1.0,0.0
11,emxl0g1y,gls81jqj,13,3,5.244,28.0,8.135,2.891,blue,1,28.0,8.135,2.891,blue,1,6,1.0,0.0
12,emxl0g1y,gls81jqj,14,5,0.223,27.0,3.727,3.504,pink,2,24.0,6.38,6.157,cyan,2,3,0.0,0.0
13,emxl0g1y,gls81jqj,15,6,0.401,28.0,3.122,2.721,purple,10,1.0,29.483,29.082,silver,10,4,0.0,0.0
14,emxl0g1y,gls81jqj,16,6,0.576,28.0,3.355,2.779,magenta,3,18.0,12.564,11.988,black,2,3,0.0,1.0
15,emxl0g1y,gls81jqj,17,4,0.232,27.0,3.225,2.993,blue,1,27.0,3.225,2.993,blue,1,2,1.0,0.0
16,emxl0g1y,q0cuufh4,2,4,0.401,27.0,3.862,3.4610000000000003,orange,2,20.0,11.097,10.696,green,2,1,0.0,0.0
17,emxl0g1y,q0cuufh4,3,5,0.57,27.0,3.894,3.3240000000000003,yellow,2,20.0,10.191,9.621,purple,2,2,0.0,0.0
18,emxl0g1y,q0cuufh4,4,2,0.316,28.0,2.865,2.5490000000000004,black,3,9.0,22.063,21.747,black,3,2,1.0,0.0
19,emxl0g1y,q0cuufh4,5,1,0.586,26.0,4.798,4.212,red,4,8.0,22.302,21.716,blue,4,5,0.0,0.0
20,emxl0g1y,q0cuufh4,6,2,0.37,28.0,3.029,2.659,cyan,1,28.0,3.029,2.659,cyan,1,2,1.0,0.0
21,emxl0g1y,q0cuufh4,7,1,0.686,28.0,2.938,2.2520000000000002,silver,2,23.0,8.178,7.492000000000001,teal,2,1,0.0,0.0
22,emxl0g1y,q0cuufh4,8,4,0.232,26.0,4.91,4.678,black,3,17.0,14.131,13.899000000000001,beige,3,6,0.0,0.0
23,emxl0g1y,q0cuufh4,9,4,0.416,27.0,3.424,3.008,red,1,27.0,3.424,3.008,red,1,1,1.0,0.0
24,emxl0g1y,q0cuufh4,10,4,0.464,28.0,2.708,2.244,orange,2,25.0,5.229,4.765,green,2,1,0.0,0.0
