,RoundCode,SessionCode,maxRed,maxBlue,maxGreen,maxOrange,maxPurple,maxYellow,maxMagenta,maxBlack,maxCyan,maxPink,maxSilver,maxTeal,maxBeige,maxOlive,maxBrown,totalClicks,Time1move,Time2move,Time3move,Time4move,Time5move,Time6move
0,2,emxl0g1y,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,10,3.994,5.497,7.072,3.947,6.809,3.862
1,3,emxl0g1y,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,13,3.261,6.013,8.858,4.04,4.494,3.894
2,4,emxl0g1y,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,17,2.519,8.834,5.332,3.156,8.602,2.865
3,5,emxl0g1y,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.76,3.715,4.48,5.196,4.363,4.798
4,6,emxl0g1y,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,8,2.306,6.136,4.066,5.536,3.762,3.029
5,7,emxl0g1y,0,0,0,0,0,1,0,0,0,0,3,5,0,0,0,10,3.286,5.977,5.623,3.321,3.972,2.938
6,8,emxl0g1y,0,0,0,0,0,0,3,3,0,0,0,0,5,3,0,19,3.54,3.556,3.656,3.64,3.525,4.91
7,9,emxl0g1y,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3.725,3.763,14.304,4.195,4.179,3.424
8,10,emxl0g1y,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,7,3.614,7.582,6.934,3.161,3.34,2.708
9,11,emxl0g1y,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,5.245,3.055,4.205,2.654,3.556,2.153
10,12,emxl0g1y,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7,2.468,2.838,3.502,2.622,3.223,1.898
11,13,emxl0g1y,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.362,4.627,4.827,2.96,8.135,2.459
12,14,emxl0g1y,0,0,0,3,0,0,0,0,5,2,0,0,0,0,0,16,6.195,3.573,4.506,5.161,3.727,2.523
13,15,emxl0g1y,0,0,0,0,2,3,0,0,0,0,5,5,0,0,0,38,3.053,4.858,5.888,3.069,3.122,3.006
14,16,emxl0g1y,0,0,0,0,0,0,4,5,0,0,0,0,0,1,0,15,2.586,3.471,6.228,2.986,3.355,5.712
15,17,emxl0g1y,3,5,0,0,0,0,0,0,0,0,0,0,0,0,2,17,4.965,7.144,5.565,2.655,3.225,4.195
16,2,8uz9cuas,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1.71,3.963,4.768,10.803,2.675,2.891
17,3,8uz9cuas,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,1.815,4.124,5.882,9.288,3.476,4.678
18,4,8uz9cuas,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,11,1.72,4.373,3.555,12.063,3.971,3.639
19,5,8uz9cuas,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.542,4.048,3.932,5.698,3.207,3.129
20,6,8uz9cuas,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,1.535,3.11,3.061,6.848,4.295,4.896
21,7,8uz9cuas,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,7,1.857,8.689,3.876,5.851,2.798,3.529
22,8,8uz9cuas,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,7,1.889,3.507,5.451,5.413,3.095,1.071
23,9,8uz9cuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.406,4.197,4.234,8.305,7.257,6.139
24,10,8uz9cuas,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,2.059,4.125,2.644,5.952,3.774,3.74
25,11,8uz9cuas,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,7,1.789,5.476,2.607,5.06,2.707,3.81
26,12,8uz9cuas,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,7,2.005,3.27,2.569,4.502,2.684,3.756
27,13,8uz9cuas,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4.483,4.536,2.076,5.316,2.107,4.514
28,14,8uz9cuas,0,0,1,0,0,0,0,0,5,3,0,0,0,0,0,11,1.848,2.374,1.805,5.635,2.628,3.931
29,15,8uz9cuas,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,9,1.921,4.341,2.29,5.612,2.422,3.71
30,16,8uz9cuas,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,1.904,3.656,2.537,3.424,2.706,3.125
31,17,8uz9cuas,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.989,2.553,2.59,4.252,2.891,4.394
32,2,s3mxv2mt,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,8,4.674,11.805,3.671,10.005,7.229,2.691
33,3,s3mxv2mt,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,7,3.159,7.114,3.46,7.052,5.179,2.807
34,4,s3mxv2mt,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7,2.442,15.704,3.175,13.831,5.464,2.389
35,5,s3mxv2mt,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.012,6.798,5.059,6.766,5.044,2.87
36,6,s3mxv2mt,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,7,2.792,10.842,2.777,8.478,4.928,2.491
37,7,s3mxv2mt,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,7,3.809,9.938,4.664,8.557,6.145,3.925
38,8,s3mxv2mt,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,13,2.675,4.864,3.439,4.88,3.624,2.074
39,9,s3mxv2mt,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.978,15.247,3.708,7.534,11.544,3.94
40,10,s3mxv2mt,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,23,2.806,6.671,6.84,8.113,6.592,3.007
41,11,s3mxv2mt,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,9,3.624,7.234,3.339,7.898,3.672,3.423
42,12,s3mxv2mt,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7,2.77,6.231,2.707,4.443,4.089,2.808
43,13,s3mxv2mt,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.918,11.825,2.671,9.484,3.171,4.538
44,14,s3mxv2mt,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,9,2.164,5.681,2.839,12.636,3.822,2.697
45,15,s3mxv2mt,0,0,0,0,0,3,0,0,0,0,2,5,0,0,0,20,2.459,5.868,2.19,4.997,3.994,3.662
46,16,s3mxv2mt,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,4.357,5.891,4.226,6.377,4.473,2.954
47,17,s3mxv2mt,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4.753,6.74,2.407,5.339,5.455,3.965
48,2,wdt8k9cv,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3.947,11.944,2.021,3.435,0.671,4.163
49,3,wdt8k9cv,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,5.447,8.192,4.06,3.875,0.717,7.106
50,4,wdt8k9cv,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,9,5.127,7.632,2.035,3.391,0.717,5.844
51,5,wdt8k9cv,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.127,4.283,2.811,4.854,0.744,7.161
52,6,wdt8k9cv,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,3.909,5.151,2.053,3.772,0.85,5.33
