SessionCode,RoundCode,NumberChoices,ExtraClicks
1gdrtht3,2,8,0.0
1gdrtht3,3,21,3.0
1gdrtht3,4,6,0.0
1gdrtht3,5,9,0.0
1gdrtht3,6,9,0.0
1gdrtht3,7,15,0.0
1gdrtht3,8,8,0.0
1gdrtht3,9,21,0.0
1gdrtht3,10,6,0.0
1gdrtht3,11,20,3.0
1gdrtht3,12,9,0.0
1gdrtht3,13,6,0.0
1gdrtht3,14,6,0.0
1gdrtht3,15,8,0.0
1gdrtht3,16,8,0.0
1gdrtht3,17,10,0.0
1smtcyle,2,6,0.0
1smtcyle,3,7,0.0
1smtcyle,4,8,0.0
1smtcyle,5,8,0.0
1smtcyle,6,7,0.0
1smtcyle,7,7,0.0
1smtcyle,8,6,0.0
1smtcyle,9,8,0.0
1smtcyle,10,6,0.0
1smtcyle,11,6,0.0
1smtcyle,12,10,0.0
1smtcyle,13,6,0.0
1smtcyle,14,9,0.0
1smtcyle,15,9,0.0
1smtcyle,16,6,0.0
1smtcyle,17,20,0.0
6nye0rx2,2,8,0.0
6nye0rx2,3,7,0.0
6nye0rx2,4,7,0.0
6nye0rx2,5,6,0.0
6nye0rx2,6,6,0.0
6nye0rx2,7,12,0.0
6nye0rx2,8,6,0.0
6nye0rx2,9,9,1.0
6nye0rx2,10,6,0.0
6nye0rx2,11,6,0.0
6nye0rx2,12,6,0.0
6nye0rx2,13,11,0.0
6nye0rx2,14,6,0.0
6nye0rx2,15,8,0.0
6nye0rx2,16,6,0.0
6nye0rx2,17,6,0.0
6vas0mym,2,7,0.0
6vas0mym,3,9,2.0
6vas0mym,4,11,14.0
6vas0mym,5,10,1.0
6vas0mym,6,7,0.0
6vas0mym,7,10,0.0
6vas0mym,8,20,0.0
6vas0mym,9,13,0.0
6vas0mym,10,6,0.0
6vas0mym,11,18,2.0
6vas0mym,12,6,0.0
6vas0mym,13,6,0.0
6vas0mym,14,12,2.0
6vas0mym,15,10,1.0
6vas0mym,16,6,0.0
6vas0mym,17,9,0.0
73kurx3q,2,8,0.0
73kurx3q,3,7,0.0
73kurx3q,4,6,0.0
73kurx3q,5,6,0.0
73kurx3q,6,10,0.0
73kurx3q,7,12,0.0
73kurx3q,8,15,0.0
73kurx3q,9,14,0.0
73kurx3q,10,13,1.0
73kurx3q,11,6,0.0
73kurx3q,12,6,0.0
73kurx3q,13,7,0.0
73kurx3q,14,9,0.0
73kurx3q,15,25,0.0
73kurx3q,16,14,1.0
73kurx3q,17,16,1.0
7c1iwaxh,2,10,2.0
7c1iwaxh,3,7,0.0
7c1iwaxh,4,6,0.0
7c1iwaxh,5,7,0.0
7c1iwaxh,6,13,0.0
7c1iwaxh,7,19,1.0
7c1iwaxh,8,13,2.0
7c1iwaxh,9,6,0.0
7c1iwaxh,10,7,0.0
7c1iwaxh,11,17,6.0
7c1iwaxh,12,15,4.0
7c1iwaxh,13,15,2.0
7c1iwaxh,14,12,4.0
7c1iwaxh,15,7,0.0
7c1iwaxh,16,7,0.0
7c1iwaxh,17,18,7.0
8uz9cuas,2,6,0.0
8uz9cuas,3,6,0.0
8uz9cuas,4,11,0.0
8uz9cuas,5,7,0.0
8uz9cuas,6,6,0.0
8uz9cuas,7,7,0.0
8uz9cuas,8,7,0.0
8uz9cuas,9,6,0.0
8uz9cuas,10,6,0.0
8uz9cuas,11,7,0.0
8uz9cuas,12,7,0.0
8uz9cuas,13,8,0.0
8uz9cuas,14,11,0.0
8uz9cuas,15,9,0.0
8uz9cuas,16,6,0.0
8uz9cuas,17,7,0.0
bb45y9nn,2,7,0.0
bb45y9nn,3,7,0.0
bb45y9nn,4,6,0.0
bb45y9nn,5,6,0.0
bb45y9nn,6,6,1.0
bb45y9nn,7,9,1.0
bb45y9nn,8,8,0.0
bb45y9nn,9,12,1.0
bb45y9nn,10,6,0.0
bb45y9nn,11,7,0.0
bb45y9nn,12,6,0.0
bb45y9nn,13,6,0.0
bb45y9nn,14,7,1.0
bb45y9nn,15,12,0.0
bb45y9nn,16,6,1.0
bb45y9nn,17,8,0.0
bimhco1q,2,14,3.0
bimhco1q,3,10,2.0
bimhco1q,4,16,4.0
bimhco1q,5,8,1.0
bimhco1q,6,7,0.0
bimhco1q,7,12,4.0
bimhco1q,8,6,0.0
bimhco1q,9,11,4.0
bimhco1q,10,8,0.0
bimhco1q,11,10,3.0
bimhco1q,12,6,1.0
bimhco1q,13,7,0.0
bimhco1q,14,8,3.0
bimhco1q,15,6,2.0
bimhco1q,16,6,2.0
bimhco1q,17,7,1.0
bn8iy0dx,2,6,0.0
bn8iy0dx,3,7,1.0
bn8iy0dx,4,9,1.0
bn8iy0dx,5,12,0.0
bn8iy0dx,6,11,1.0
bn8iy0dx,7,8,0.0
bn8iy0dx,8,7,0.0
bn8iy0dx,9,7,0.0
bn8iy0dx,10,6,0.0
bn8iy0dx,11,11,0.0
bn8iy0dx,12,7,0.0
bn8iy0dx,13,15,0.0
bn8iy0dx,14,6,0.0
bn8iy0dx,15,7,0.0
bn8iy0dx,16,7,0.0
bn8iy0dx,17,7,0.0
emxl0g1y,2,10,0.0
emxl0g1y,3,13,0.0
emxl0g1y,4,17,0.0
emxl0g1y,5,15,0.0
emxl0g1y,6,8,0.0
emxl0g1y,7,10,0.0
emxl0g1y,8,19,0.0
emxl0g1y,9,10,0.0
emxl0g1y,10,7,0.0
emxl0g1y,11,6,0.0
emxl0g1y,12,7,0.0
emxl0g1y,13,9,0.0
emxl0g1y,14,16,0.0
emxl0g1y,15,38,0.0
emxl0g1y,16,14,1.0
emxl0g1y,17,17,0.0
esajw93t,2,7,0.0
esajw93t,3,6,0.0
esajw93t,4,12,3.0
esajw93t,5,7,0.0
esajw93t,6,17,0.0
esajw93t,7,13,0.0
esajw93t,8,10,0.0
esajw93t,9,9,1.0
esajw93t,10,6,0.0
esajw93t,11,9,0.0
esajw93t,12,6,0.0
esajw93t,13,6,0.0
esajw93t,14,9,0.0
esajw93t,15,8,0.0
esajw93t,16,8,0.0
esajw93t,17,8,0.0
hq3wc0gn,2,8,0.0
hq3wc0gn,3,6,0.0
hq3wc0gn,4,8,1.0
hq3wc0gn,5,7,0.0
hq3wc0gn,6,20,1.0
hq3wc0gn,7,10,0.0
hq3wc0gn,8,13,2.0
hq3wc0gn,9,21,1.0
hq3wc0gn,10,9,0.0
hq3wc0gn,11,15,1.0
hq3wc0gn,12,6,0.0
hq3wc0gn,13,8,1.0
hq3wc0gn,14,7,0.0
hq3wc0gn,15,24,2.0
hq3wc0gn,16,10,0.0
hq3wc0gn,17,9,0.0
j8kl8j9f,2,17,6.0
j8kl8j9f,3,17,1.0
j8kl8j9f,4,11,0.0
j8kl8j9f,5,28,13.0
j8kl8j9f,6,27,11.0
j8kl8j9f,7,33,10.0
j8kl8j9f,8,17,2.0
j8kl8j9f,9,23,1.0
j8kl8j9f,10,13,0.0
j8kl8j9f,11,13,0.0
j8kl8j9f,12,11,1.0
j8kl8j9f,13,7,0.0
j8kl8j9f,14,19,0.0
j8kl8j9f,15,21,2.0
j8kl8j9f,16,15,0.0
j8kl8j9f,17,11,0.0
kr4oy9m9,2,7,0.0
kr4oy9m9,3,6,0.0
kr4oy9m9,4,7,0.0
kr4oy9m9,5,6,0.0
kr4oy9m9,6,9,0.0
kr4oy9m9,7,8,0.0
kr4oy9m9,8,10,1.0
kr4oy9m9,9,12,0.0
kr4oy9m9,10,6,0.0
kr4oy9m9,11,6,0.0
kr4oy9m9,12,9,0.0
kr4oy9m9,13,9,0.0
kr4oy9m9,14,15,0.0
kr4oy9m9,15,7,0.0
kr4oy9m9,16,10,0.0
kr4oy9m9,17,9,0.0
lefz84r6,2,11,4.0
