,ParticipantID,SizeNetwork,SessionCode,RoundCode,Grade,Convergence,RT,Color1Count,Color2Count,Color3Count,Color4Count,toys1,toys2,toysnetwork
0,1,6,emxl0g1y,1,2,yes,10.61,6,0,0,0,2,3,3
1,1,6,8uz9cuas,1,2,yes,16.371,6,0,0,0,2,4,4
2,1,6,s3mxv2mt,1,2,yes,25.785,6,0,0,0,2,4,4
3,1,6,wdt8k9cv,1,2,yes,15.044,6,0,0,0,2,4,4
4,1,6,73kurx3q,1,2,yes,21.341,0,6,0,0,2,4,3
5,1,6,hq3wc0gn,1,2,yes,15.84,6,0,0,0,2,4,3
6,1,6,esajw93t,1,2,yes,13.544,6,0,0,0,2,4,4
7,1,6,bb45y9nn,1,2,no,0.0,2,4,0,0,2,4,4
8,1,6,bn8iy0dx,1,1,yes,19.97,6,0,0,0,1,2,4
9,1,6,q32n8r51,1,1,yes,15.277,6,0,0,0,2,4,3
10,1,6,xoaxn8b5,1,1,no,0.0,2,4,0,0,1,2,4
11,1,6,6nye0rx2,1,1,yes,12.551,6,0,0,0,2,4,4
12,1,6,1smtcyle,1,1,yes,28.641,0,6,0,0,2,4,4
13,1,6,6vas0mym,1,1,yes,28.41,0,6,0,0,2,4,3
14,1,6,xros1iar,1,1,yes,20.053,6,0,0,0,1,2,4
15,1,6,1gdrtht3,1,1,yes,19.131,6,0,0,0,1,3,3
16,1,6,7c1iwaxh,1,0,no,0.0,2,3,0,0,1,2,3
17,1,6,lefz84r6,1,0,yes,24.729,0,6,0,0,2,4,3
18,1,6,kr4oy9m9,1,0,no,0.0,3,3,0,0,1,3,3
19,1,6,smt3x2oq,1,0,no,0.0,3,3,0,0,2,4,3
20,1,6,mwzdrrir,1,0,no,0.0,3,3,0,0,1,2,3
21,1,6,tr7j8p5u,1,0,no,0.0,1,5,0,0,2,3,3
22,1,6,udqawmho,1,0,no,0.0,0,5,0,0,2,4,3
23,1,6,bimhco1q,1,0,yes,20.803,0,6,0,0,2,2,3
24,1,6,j8kl8j9f,1,0,no,0.0,2,4,0,0,1,2,3
25,1,6,emxl0g1y,2,2,yes,11.126,0,6,0,0,2,3,3
26,1,6,8uz9cuas,2,2,yes,10.83,0,6,0,0,2,4,4
27,1,6,s3mxv2mt,2,2,yes,11.813,6,0,0,0,2,4,4
28,1,6,wdt8k9cv,2,2,yes,11.966,0,6,0,0,2,4,4
29,1,6,73kurx3q,2,2,yes,15.936,0,6,0,0,2,4,3
30,1,6,hq3wc0gn,2,2,yes,37.111,0,6,0,0,2,4,3
31,1,6,esajw93t,2,2,yes,13.012,6,0,0,0,2,4,4
32,1,6,bb45y9nn,2,2,yes,21.13,6,0,0,0,2,4,4
33,1,6,bn8iy0dx,2,1,yes,19.29,0,6,0,0,1,2,4
34,1,6,q32n8r51,2,1,yes,9.594,0,6,0,0,2,4,3
35,1,6,xoaxn8b5,2,1,no,0.0,2,4,0,0,1,2,4
36,1,6,6nye0rx2,2,1,yes,12.522,0,6,0,0,2,4,4
37,1,6,1smtcyle,2,1,yes,12.126,6,0,0,0,2,4,4
38,1,6,6vas0mym,2,1,yes,6.921,0,6,0,0,2,4,3
39,1,6,xros1iar,2,1,yes,16.577,6,0,0,0,1,2,4
40,1,6,1gdrtht3,2,1,yes,15.158,6,0,0,0,1,3,3
41,1,6,7c1iwaxh,2,0,no,0.0,4,1,0,0,1,2,3
42,1,6,lefz84r6,2,0,yes,26.473,0,6,0,0,2,4,3
43,1,6,kr4oy9m9,2,0,yes,23.717,0,6,0,0,1,3,3
