,ParticipantID,SizeNetwork,SessionCode,Grade,BirthMonth,BirthDay,BirthYear,Gender,RoundCode,NumberConnections,Action,ActionType,Time1,Time2,Time3,Time4,Convergence,id_in_session
0,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,1,2,blue,not aplicable,1.81,0.0,0.0,0.0,yes,1
1,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,2,3,green,not aplicable,1.759,5.483,0.0,0.0,yes,1
2,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,3,3,purple,not aplicable,4.055,9.606,0.0,0.0,yes,1
3,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,4,2,black,not aplicable,5.543,18.871,0.0,0.0,yes,1
4,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,5,2,blue,not aplicable,6.824,12.818,0.0,0.0,yes,1
5,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,6,3,cyan,not aplicable,0.0,4.209,1.257,0.0,yes,1
6,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,7,3,teal,not aplicable,0.0,2.306,3.394,0.053,yes,1
7,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,8,2,beige,not aplicable,4.162,3.353,5.561,5.909,yes,1
8,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,9,2,red,not aplicable,0.0,2.589,12.515,0.0,yes,1
9,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,10,2,green,not aplicable,0.0,4.121,0.0,0.0,yes,1
10,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,11,2,yellow,not aplicable,0.0,0.058,0.0,0.0,yes,1
11,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,12,3,black,not aplicable,0.063,1.998,0.0,0.0,yes,1
12,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,13,3,blue,not aplicable,2.136,2.722,0.0,0.0,yes,1
13,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,14,2,cyan,not aplicable,0.0,0.0,1.824,21.463,yes,1
14,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,15,2,purple,not aplicable,3.977,5.395,8.876,9.671,no,1
15,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,16,3,black,not aplicable,9.655,5.092,0.0,0.0,yes,1
16,uupa7hgi,6,emxl0g1y,2,10.0,29.0,2016.0,M,17,3,blue,not aplicable,10.455,15.495,0.0,0.0,no,1
17,grpzsbn0,6,emxl0g1y,2,12.0,8.0,2016.0,M,1,2,blue,not aplicable,0.053,2.382,0.0,0.0,yes,2
18,grpzsbn0,6,emxl0g1y,2,12.0,8.0,2016.0,M,2,3,green,not aplicable,3.65,2.15,0.0,0.0,yes,2
